xpos,ypos,yaw
-0.172292,0.202647,2.32226
-0.178147,0.208844,2.32778
-0.183982,0.214949,2.33356
-0.189796,0.22096,2.33963
-0.19559,0.226873,2.34598
-0.201363,0.232687,2.35264
-0.207113,0.238398,2.3596
-0.21284,0.244004,2.36688
-0.218544,0.249503,2.3745
-0.224224,0.254892,2.38247
-0.229879,0.260169,2.39079
-0.235509,0.265331,2.39949
-0.241113,0.270377,2.40858
-0.246691,0.275303,2.41808
-0.252241,0.280109,2.428
-0.257764,0.284791,2.43837
-0.263258,0.289348,2.44919
-0.268723,0.293777,2.4605
-0.274159,0.298078,2.4723
-0.279565,0.302247,2.48463
-0.28494,0.306283,2.49751
-0.290283,0.310184,2.51096
-0.295594,0.313949,2.525
-0.300873,0.317575,2.53966
-0.306119,0.321062,2.55498
-0.311332,0.324407,2.57097
-0.316509,0.32761,2.58766
-0.321653,0.330668,2.60509
-0.32676,0.333581,2.62329
-0.331832,0.336348,2.64228
-0.336867,0.338966,2.6621
-0.341866,0.341435,2.68278
-0.346826,0.343753,2.70434
-0.351749,0.345921,2.72682
-0.356632,0.347936,2.75024
-0.361477,0.349798,2.77464
-0.366282,0.351506,2.80002
-0.371046,0.35306,2.82642
-0.37577,0.354458,2.85384
-0.380452,0.3557,2.8823
-0.385092,0.356785,2.9118
-0.38969,0.357714,2.94234
-0.394245,0.358485,2.97391
-0.398757,0.359098,3.00649
-0.403225,0.359553,3.04005
-0.407648,0.35985,3.07455
-0.412027,0.359989,3.10994
-0.41636,0.359969,-3.13702
-0.420648,0.359791,-3.10005
-0.424889,0.359454,-3.0624
-0.429084,0.358959,-3.02418
-0.433231,0.358307,-2.98548
-0.437331,0.357496,-2.94642
-0.441382,0.356529,-2.90712
-0.445385,0.355404,-2.86769
-0.449339,0.354123,-2.82826
-0.453243,0.352686,-2.78895
-0.457098,0.351094,-2.74989
-0.460902,0.349347,-2.71117
-0.464656,0.347447,-2.67292
-0.468358,0.345393,-2.63524
-0.472009,0.343188,-2.5982
-0.475608,0.340832,-2.5619
-0.479155,0.338325,-2.5264
-0.482649,0.33567,-2.49175
-0.48609,0.332867,-2.458
-0.489477,0.329917,-2.42519
-0.492811,0.326823,-2.39333
-0.49609,0.323584,-2.36245
-0.499315,0.320203,-2.33255
-0.502485,0.316681,-2.30363
-0.505599,0.31302,-2.27568
-0.508658,0.309221,-2.24869
-0.511661,0.305286,-2.22264
-0.514607,0.301217,-2.1975
-0.517497,0.297015,-2.17326
-0.52033,0.292682,-2.14989
-0.523106,0.288221,-2.12735
-0.525824,0.283632,-2.10562
-0.528485,0.278919,-2.08467
-0.531087,0.274083,-2.06446
-0.533631,0.269127,-2.04496
-0.536116,0.264052,-2.02615
-0.538542,0.25886,-2.00798
-0.540909,0.253555,-1.99044
-0.543216,0.248138,-1.97348
-0.545464,0.242612,-1.95709
-0.547651,0.23698,-1.94123
-0.549778,0.231243,-1.92588
-0.551845,0.225404,-1.91101
-0.553851,0.219466,-1.89659
-0.555796,0.213431,-1.88261
-0.55768,0.207303,-1.86904
-0.559503,0.201083,-1.85585
-0.561264,0.194775,-1.84303
-0.562963,0.188381,-1.83056
-0.564601,0.181904,-1.81841
-0.566176,0.175347,-1.80657
-0.567689,0.168713,-1.79502
-0.569139,0.162005,-1.78374
-0.570527,0.155225,-1.77272
-0.571852,0.148377,-1.76194
-0.573115,0.141464,-1.75138
-0.574314,0.134489,-1.74104
-0.57545,0.127454,-1.73089
-0.576522,0.120363,-1.72093
-0.577531,0.11322,-1.71113
-0.578477,0.106026,-1.7015
-0.579359,0.0987857,-1.69201
-0.580177,0.091502,-1.68266
-0.580932,0.084178,-1.67344
-0.581622,0.076817,-1.66432
-0.582248,0.0694222,-1.65531
-0.582811,0.0619968,-1.64639
-0.583309,0.0545441,-1.63756
-0.583743,0.0470674,-1.62879
-0.584113,0.03957,-1.62009
-0.584419,0.0320552,-1.61144
-0.58466,0.0245263,-1.60284
-0.584837,0.0169866,-1.59427
-0.58495,0.00943943,-1.58572
-0.584998,0.00188809,-1.57719
-0.584982,-0.00566407,-1.56867
-0.584901,-0.0132137,-1.56014
-0.584757,-0.0207576,-1.5516
-0.584547,-0.0282923,-1.54305
-0.584274,-0.0358146,-1.53446
-0.583936,-0.0433211,-1.52583
-0.583534,-0.0508086,-1.51716
-0.583068,-0.0582736,-1.50843
-0.582538,-0.0657131,-1.49963
-0.581943,-0.0731236,-1.49075
-0.581285,-0.0805019,-1.48179
-0.580562,-0.0878448,-1.47273
-0.579776,-0.0951491,-1.46356
-0.578926,-0.102411,-1.45427
-0.578012,-0.109629,-1.44485
-0.577035,-0.116798,-1.43529
-0.575994,-0.123915,-1.42558
-0.574889,-0.130979,-1.41571
-0.573722,-0.137984,-1.40565
-0.572491,-0.144929,-1.39541
-0.571198,-0.15181,-1.38496
-0.569841,-0.158624,-1.3743
-0.568422,-0.165368,-1.3634
-0.56694,-0.17204,-1.35225
-0.565396,-0.178636,-1.34083
-0.56379,-0.185153,-1.32914
-0.562121,-0.191589,-1.31715
-0.560391,-0.19794,-1.30484
-0.558599,-0.204204,-1.29219
-0.556746,-0.210379,-1.27919
-0.554832,-0.216461,-1.26582
-0.552856,-0.222447,-1.25204
-0.550819,-0.228336,-1.23785
-0.548722,-0.234124,-1.22321
-0.546565,-0.239809,-1.2081
-0.544347,-0.245389,-1.1925
-0.54207,-0.250861,-1.17638
-0.539733,-0.256222,-1.15971
-0.537336,-0.26147,-1.14246
-0.534881,-0.266604,-1.12461
-0.532366,-0.27162,-1.10612
-0.529793,-0.276516,-1.08697
-0.527162,-0.281291,-1.06712
-0.524473,-0.285942,-1.04654
-0.521725,-0.290467,-1.0252
-0.518921,-0.294865,-1.00308
-0.516059,-0.299132,-0.980124
-0.513141,-0.303268,-0.956321
-0.510166,-0.307271,-0.931637
-0.507135,-0.311138,-0.906048
-0.504049,-0.314868,-0.879529
-0.500907,-0.31846,-0.85206
-0.497709,-0.321911,-0.823625
-0.494457,-0.325221,-0.794215
-0.491151,-0.328388,-0.763824
-0.48779,-0.33141,-0.732455
-0.484376,-0.334287,-0.700118
-0.480909,-0.337016,-0.666833
-0.477388,-0.339597,-0.63263
-0.473815,-0.342029,-0.597547
-0.47019,-0.34431,-0.561635
-0.466514,-0.346439,-0.524958
-0.462785,-0.348416,-0.487587
-0.459006,-0.35024,-0.449608
-0.455177,-0.351909,-0.411114
-0.451297,-0.353424,-0.372211
-0.447368,-0.354783,-0.333008
-0.44339,-0.355986,-0.293624
-0.439362,-0.357032,-0.25418
-0.435287,-0.357921,-0.214798
-0.431163,-0.358653,-0.175602
-0.426992,-0.359227,-0.13671
-0.422774,-0.359642,-0.0982363
-0.41851,-0.3599,-0.0602895
-0.414199,-0.359999,-0.0229681
-0.409843,-0.359939,0.0136385
-0.405442,-0.359722,0.0494519
-0.400997,-0.359345,0.0844045
-0.396507,-0.358811,0.11844
-0.391973,-0.358119,0.151514
-0.387396,-0.357269,0.183592
-0.382777,-0.356262,0.21465
-0.378116,-0.355098,0.244672
-0.373413,-0.353778,0.273654
-0.368669,-0.352302,0.301594
-0.363884,-0.350671,0.328502
-0.35906,-0.348886,0.35439
-0.354195,-0.346948,0.379275
-0.349292,-0.344856,0.403179
-0.344351,-0.342613,0.426127
-0.339371,-0.340219,0.448145
-0.334354,-0.337675,0.469261
-0.329301,-0.334983,0.489505
-0.324211,-0.332143,0.508907
-0.319085,-0.329157,0.527498
-0.313925,-0.326027,0.545308
-0.30873,-0.322752,0.562368
-0.303501,-0.319336,0.578708
-0.298238,-0.315779,0.594356
-0.292943,-0.312083,0.609342
-0.287615,-0.30825,0.623692
-0.282256,-0.304281,0.637434
-0.276866,-0.300179,0.650592
-0.271445,-0.295944,0.663192
-0.265994,-0.291579,0.675258
-0.260515,-0.287085,0.68681
-0.255006,-0.282466,0.697872
-0.249469,-0.277721,0.708463
-0.243905,-0.272855,0.718604
-0.238315,-0.267869,0.728311
-0.232698,-0.262765,0.737604
-0.227055,-0.257545,0.746498
-0.221387,-0.252211,0.755009
-0.215695,-0.246767,0.763153
-0.209979,-0.241214,0.770943
-0.204241,-0.235555,0.778393
-0.198479,-0.229793,0.785515
-0.192696,-0.223929,0.792322
-0.186892,-0.217966,0.798824
-0.181067,-0.211908,0.805033
-0.175222,-0.205757,0.810958
-0.169358,-0.199514,0.816609
-0.163475,-0.193185,0.821994
-0.157574,-0.18677,0.827123
-0.151656,-0.180272,0.832003
-0.145721,-0.173696,0.836642
-0.13977,-0.167043,0.841046
-0.133804,-0.160317,0.845222
-0.127823,-0.15352,0.849177
-0.121828,-0.146655,0.852915
-0.11582,-0.139726,0.856444
-0.109799,-0.132735,0.859767
-0.103766,-0.125686,0.862889
-0.0977211,-0.118582,0.865815
-0.0916657,-0.111426,0.868549
-0.0856002,-0.10422,0.871095
-0.0795253,-0.0969687,0.873456
-0.0734417,-0.0896747,0.875635
-0.06735,-0.0823411,0.877635
-0.0612509,-0.0749713,0.87946
-0.055145,-0.0675685,0.881111
-0.0490331,-0.060136,0.882591
-0.0429157,-0.0526771,0.883902
-0.0367937,-0.0451949,0.885045
-0.0306676,-0.0376928,0.886022
-0.0245381,-0.0301742,0.886834
-0.018406,-0.0226423,0.887482
-0.0122718,-0.0151004,0.887968
-0.00613622,-0.00755186,0.888291
